Title,Rating,Votes,Duration,Storyline,content
Kung Fu Games,3.3, (437),1h 38m,"Notorious fighters are trapped in lethal martial arts games by a sadistic magnate. Armed only with their combat skills, they face brutal battles for survival in a deadly kill-or-be-killed showdown.",kung fu game notorious fighter trapped lethal martial art game sadistic magnate armed combat skill face brutal battle survival deadly killorbekilled showdown
Lisabi: The Uprising,5.1, (161),1h 47m,"A valiant Yoruba folk hero rises against tyranny, rallying his people to reclaim their land and identity, reshaping history through courage and resilience, defying oppression.",lisabi uprising valiant yoruba folk hero rise tyranny rallying people reclaim land identity reshaping history courage resilience defying oppression
The Wash,8.5, (12),48m,An enterprising man determined to stay afloat midst financial struggles by opening a racy car wash concept designed to pull in money with the help of his cousin Rell.,wash enterprising man determined stay afloat midst financial struggle opening racy car wash concept designed pull money help cousin rell
Divino tesoro,5.1, (51),1h 21m,"Roberto is retired and divorced, and lives alone. When he rents a room in his apartment to a young student, Carmen, he soon begins to feel a certain fascination towards her - (physical and/or intellectual)???",divino tesoro roberto retired divorced life alone rent room apartment young student carmen soon begin feel certain fascination towards physical andor intellectual
Gulaabi,6.3, (74),2h 29m,"""Celebrating the Colors of Friendship""",gulaabi celebrating color friendship
The Cursed Land,5.4, (347),2h 8m,A widower and his daughter travel's to Thailand's deep south to seek help from a Muslim doctor after unleashing a djinn in a rundown house.,cursed land widower daughter travel thailand deep south seek help muslim doctor unleashing djinn rundown house
I Cut Off His Penis: The Truth Behind the Headlines,5.9, (62),1h 30m,"Inside the story of the 1993 trial of Lorena Bobbitt, and exploring the uptick in similar ""penicide"" cases since then.",cut penis truth behind headline inside story trial lorena bobbitt exploring uptick similar penicide case since
One Night in Tokyo,6.6, (124),1h 35m,Betrayal spawns an unexpected night through the streets of Tokyo for two strangers left questioning the meaning of life and love.,one night tokyo betrayal spawn unexpected night street tokyo two stranger left questioning meaning life love
Songs from the Hole,5.6, (166),1h 37m,"At 15, he took a life. Three days later, his brother's life was taken. An incarcerated musician struggles for healing and peace as he comes of age in this documentary visual album composed behind bars.",song hole took life three day later brother life taken incarcerated musician struggle healing peace come age documentary visual album composed behind bar
"Robotia, the Movie",7.4, (38),1h 26m,"In a world inhabited by androids, a girl dreams of playing football, despite her family's ban. Her friends will come to her aid to help her fulfill her wish, and show everyone what they are capable of doing, on and off the football field.",robotia movie world inhabited android girl dream playing football despite family ban friend come aid help fulfill wish show everyone capable football field
Vasco Da Gama,5.3, (6K),2h 5m,Future Only 100% Bad souls existed in earth,vasco da gama future bad soul existed earth
Glass Casa,7.4, (59),1h 46m,Jamie's plans for a relaxed bachelorette party with her three closest gals turn nightmarish when the celebration takes a dark twist: an unexpected guest is discovered mysteriously murdered.,glass casa jamies plan relaxed bachelorette party three closest gal turn nightmarish celebration take dark twist unexpected guest discovered mysteriously murdered
Her Drunken Diary,6.2, (376),1h 32m,"A young wife battles alcoholism while raising a child amid tension with her overbearing mother-in-law, straining her marriage and self-esteem.",drunken diary young wife battle alcoholism raising child amid tension overbearing motherinlaw straining marriage selfesteem
Bachelor Party,5.2, (355),2h 25m,"In a bid to escape his attempts of pleasing his obnoxious wife,Santosh attends a Bachelor Party. He's reunited with his childhood friend who has always brought trouble.With their school teacher tagging along,the trio embark on an adventure",bachelor party bid escape attempt pleasing obnoxious wifesantosh attends bachelor party reunited childhood friend always brought troublewith school teacher tagging alongthe trio embark adventure
Lady Outlaw,6.0, (44),1h 44m,"In 1890s Oklahoma, a pair of fugitive lovers face a perilous journey home. With lawmen and bounty hunters hot on their heels, George and Rose must outwit their pursuers and navigate treacherous terrain to reach safety in Ingalls.",lady outlaw oklahoma pair fugitive lover face perilous journey home lawman bounty hunter hot heel george rose must outwit pursuer navigate treacherous terrain reach safety ingalls
A Nashville Wish,5.2, (143),1h 42m,A country singer falls for the girl of his dreams and has to choose between love and his dreams of stardom in Nashville.,nashville wish country singer fall girl dream choose love dream stardom nashville
Waspzilla,3.3, (195),1h 20m,"Get ready for a buzz-worthy adventure in ""Waspzilla"". Deputy Callahan, a tough-as-nails law enforcement officer, finds herself teamed up with an eager rookie for an outlandish mission.",waspzilla get ready buzzworthy adventure waspzilla deputy callahan toughasnails law enforcement officer find teamed eager rookie outlandish mission
Mephisto,5.2, (66),1h 48m,"Helena suffers the loss of her parents. Between mourning and abandonment, she receives through dreams, messages that will make her delve into herself, and at the same time, follow the strange trail of someone who will change her existence.",mephisto helena suffers loss parent mourning abandonment receives dream message make delve time follow strange trail someone change existence
Deep Fridge,7.7, (35),1h 44m,"Swarnava and Mili, divorced five years, spend a night reflecting. Divided into Ice Cube, Melting Point, and Defrost, the story explores their emotional journey. The ""Deep Fridge"" symbolizes their buried feelings and ongoing struggles.",deep fridge swarnava mili divorced five year spend night reflecting divided ice cube melting point defrost story explores emotional journey deep fridge symbolizes buried feeling ongoing struggle
Mahadev Ka Gorakhpur,7.0, (419),2h 11m,"When evil descends chaotically upon the goodness of the land, a righteous warrior of Lord Shiva arrives to deliver justice to the wicked.",mahadev ka gorakhpur evil descends chaotically upon goodness land righteous warrior lord shiva arrives deliver justice wicked
The Great Warning,5.5, (170),1h 30m,"This documentary chronicles the fact finding research of an unprecedented apocalyptic event in our earth. It's explored through the lenses of science, history, and spirituality.",great warning documentary chronicle fact finding research unprecedented apocalyptic event earth explored lens science history spirituality
Where's My Head?,6.8, (91),1h 30m,"A horror writer rents a cheap room haunted by the ghost of a beheaded woman demanding her missing head back. Nana can't leave until she finds the head, or her daughter will be decapitated.",head horror writer rent cheap room haunted ghost beheaded woman demanding missing head back nana leave find head daughter decapitated
